timestamps,open,high,low,close,volume,amount,fgi_value,fundingRate
2025-12-07 10:00:00,89104.23,89388.0,89103.97,89240.18,200.63018,17904273.3766324,20,0.0
2025-12-07 11:00:00,89240.18,89277.59,89141.87,89149.18,183.64055,16371404.447248997,20,0.0
2025-12-07 12:00:00,89149.18,89585.12,89111.4,89475.9,246.12366,22022135.989793997,20,0.0
2025-12-07 13:00:00,89475.9,89519.1,88652.0,89053.74,519.89031,46298176.495259404,20,0.0
2025-12-07 14:00:00,89053.74,89106.0,87719.28,88220.53,1908.61044,168378624.5803332,20,0.0
2025-12-07 15:00:00,88220.53,89707.54,88169.08,89554.52,1242.29675,111253289.14381,20,0.0
2025-12-07 16:00:00,89554.52,89908.17,89115.85,89893.38,675.40594,60714522.8186772,20,0.0
2025-12-07 17:00:00,89893.39,91271.77,89624.0,90945.17,1918.39408,174468675.7325936,20,0.0
2025-12-07 18:00:00,90945.18,91760.0,90945.17,91363.78,996.37071,91032194.3468838,20,0.0
2025-12-07 19:00:00,91363.79,91545.95,91213.37,91425.52,248.14,22686328.5328,20,0.0
2025-12-07 20:00:00,91425.51,91510.4,91308.82,91439.04,186.94503,17094074.075971197,20,0.0
2025-12-07 21:00:00,91439.05,91439.05,89871.0,90231.32,807.41124,72853781.9680368,20,0.0
2025-12-07 22:00:00,90231.31,90241.8,88995.33,89597.03,1508.70162,135175184.30818862,20,0.0
2025-12-07 23:00:00,89597.03,90471.66,89522.08,90395.31,524.67272,47427953.172943205,20,0.0
2025-12-08 00:00:00,90395.32,90627.11,89860.0,90346.7,491.62319,44416532.859973,20,0.0
2025-12-08 01:00:00,90346.7,91700.0,90301.86,90910.7,968.78312,88072751.587384,20,0.0
2025-12-08 02:00:00,90910.7,91436.94,90811.25,91364.18,597.40749,54581645.4497082,20,0.0
2025-12-08 03:00:00,91364.18,91420.0,90988.91,91068.29,395.79035,36043950.37300149,20,0.0
2025-12-08 04:00:00,91068.3,91470.58,91023.06,91291.33,255.62144,23336021.234115202,20,0.0
2025-12-08 05:00:00,91291.33,91444.0,91037.43,91334.03,299.94508,27395192.9350724,20,0.0
2025-12-08 06:00:00,91334.04,91649.87,91241.27,91464.54,485.82587,44435839.7196498,20,0.0
2025-12-08 07:00:00,91464.54,91868.76,91360.0,91565.46,551.09583,50461343.1780318,20,0.0
2025-12-08 08:00:00,91565.46,91938.67,91486.46,91833.9,393.73282,36158020.418597996,20,0.0
2025-12-08 09:00:00,91833.89,92287.15,91792.38,91912.02,790.37467,72644932.47653341,20,0.0
2025-12-08 10:00:00,91912.02,92222.0,91808.09,92133.4,425.18961,39174164.413974,20,0.0
2025-12-08 11:00:00,92133.39,92188.31,91851.08,91968.29,343.75755,31614794.048089497,20,0.0
2025-12-08 12:00:00,91968.29,91992.3,91653.94,91768.96,573.34646,52615408.353881605,20,0.0
2025-12-08 13:00:00,91768.97,92122.08,91301.45,91467.82,804.38449,73575295.7421118,20,0.0
2025-12-08 14:00:00,91467.83,91777.0,90790.0,90852.56,1807.88526,164251004.0572656,20,0.0
2025-12-08 15:00:00,90852.57,90998.95,89612.0,89961.37,2037.53824,183299731.4977888,20,0.0
2025-12-08 16:00:00,89961.36,90499.99,89679.79,89978.48,1042.18438,93774166.39214239,20,0.0
2025-12-08 17:00:00,89978.47,90339.36,89694.24,90257.98,645.64705,58274798.525959,20,0.0
2025-12-08 18:00:00,90257.98,90527.3,89724.72,89921.68,559.47994,50309376.1310992,20,0.0
2025-12-08 19:00:00,89921.68,90366.39,89860.07,90124.48,342.53116,30870442.678796798,20,0.0
2025-12-08 20:00:00,90124.49,90917.23,90124.49,90799.92,565.06678,51308018.4186576,20,0.0
2025-12-08 21:00:00,90799.92,91374.0,90675.0,91316.01,579.83297,52948033.2868497,20,0.0
2025-12-08 22:00:00,91316.0,91373.69,90726.4,90833.86,391.90576,35598312.9370336,20,0.0
2025-12-08 23:00:00,90833.85,91026.52,90490.76,90634.34,444.68936,40304126.6486224,20,0.0
2025-12-09 00:00:00,90634.35,90846.26,90355.0,90396.73,288.37623,26068268.2017279,22,0.0
2025-12-09 01:00:00,90396.72,90569.98,89966.0,90055.8,537.66391,48419753.546178,22,0.0
2025-12-09 02:00:00,90055.8,90368.0,89979.21,90068.2,312.17,28116589.994,22,0.0
2025-12-09 03:00:00,90068.21,90442.77,89795.84,90405.01,1217.20174,110041135.4767174,22,0.0
2025-12-09 04:00:00,90405.02,90500.0,89737.47,89917.53,488.51951,43926467.6960103,22,0.0
2025-12-09 05:00:00,89917.52,90209.96,89500.0,89899.35,650.65388,58493360.886978,22,0.0
2025-12-09 06:00:00,89899.35,90232.76,89775.67,90166.84,321.30432,28970995.2127488,22,0.0
2025-12-09 07:00:00,90166.85,90528.67,90091.56,90496.8,407.14103,36844960.363704,22,0.0
2025-12-09 08:00:00,90496.8,90600.0,90366.35,90498.72,400.27808,36224653.8840576,22,0.0
2025-12-09 09:00:00,90498.72,90498.72,90129.21,90131.59,285.35023,25719069.9367657,22,0.0
2025-12-09 10:00:00,90131.6,90345.39,89912.48,90298.45,489.74956,44223626.156182,22,0.0
